module,normal_time,skipkernel_time
Mathlib.Topology.Sequences,0m1.818s,0m1.851s
Mathlib.Topology.JacobsonSpace,0m1.623s,0m1.730s
Mathlib.Analysis.Convex.Star,0m2.833s,0m2.958s
Mathlib.Topology.UniformSpace.UniformConvergence,0m2.222s,0m2.235s
Mathlib.Topology.UniformSpace.UniformEmbedding,0m2.518s,0m2.541s
Mathlib.Topology.Algebra.Algebra.Rat,0m1.501s,0m1.513s
Mathlib.Topology.Algebra.MulAction,0m2.341s,0m2.446s
Mathlib.Topology.Algebra.ProperConstSMul,0m1.522s,0m1.608s
Mathlib.Dynamics.Minimal,0m1.686s,0m1.840s
Mathlib.RingTheory.Finiteness.Ideal,0m1.786s,0m1.846s
Mathlib.RingTheory.Ideal.Quotient.PowTransition,0m2.553s,0m2.664s
Mathlib.Topology.Sets.Compacts,0m2.723s,0m2.764s
Mathlib.GroupTheory.SpecificGroups.Cyclic,0m6.885s,0m7.007s
Mathlib.Algebra.Order.Module.HahnEmbedding,0m11.064s,0m10.669s
Mathlib.Algebra.CharP.Quotient,0m1.836s,0m1.848s
Mathlib.Algebra.Algebra.Subalgebra.Operations,0m2.039s,0m2.026s
Mathlib.RingTheory.Jacobson.Radical,0m2.863s,0m2.895s
Mathlib.RingTheory.Ideal.Colon,0m2.057s,0m2.111s
Mathlib.Algebra.Algebra.Spectrum.Basic,0m3.782s,0m3.663s
Mathlib.RingTheory.Ideal.Pointwise,0m2.138s,0m2.145s
Mathlib.LinearAlgebra.TensorProduct.Quotient,0m6.108s,0m6.342s
Mathlib.RingTheory.Ideal.Prod,0m2.106s,0m2.132s
Mathlib.RingTheory.Localization.Away.Basic,0m4.608s,0m4.612s
Mathlib.LinearAlgebra.AffineSpace.Centroid,0m2.050s,0m2.059s
Mathlib.Algebra.Polynomial.Module.AEval,0m7.938s,0m8.355s
Mathlib.Topology.Category.TopCat.OpenNhds,0m2.108s,0m2.059s
Mathlib.Topology.Order.Category.AlexDisc,0m1.730s,0m1.736s
Mathlib.Topology.FiberBundle.Basic,0m2.748s,0m2.822s
Mathlib.RingTheory.Valuation.Basic,0m5.279s,0m5.210s
Mathlib.Topology.Order.LawsonTopology,0m2.014s,0m2.043s
Mathlib.Topology.Category.TopCat.Yoneda,0m1.824s,0m1.808s
Mathlib.Topology.OmegaCompletePartialOrder,0m2.050s,0m2.054s
Mathlib.CategoryTheory.CofilteredSystem,0m1.930s,0m1.955s
Mathlib.LinearAlgebra.AffineSpace.Independent,0m4.883s,0m4.804s
Mathlib.Topology.Sheaves.Presheaf,0m4.011s,0m4.001s
Mathlib.SetTheory.Ordinal.Topology,0m2.004s,0m2.042s
Mathlib.Topology.Order.ExtendFrom,0m1.724s,0m1.721s
Mathlib.Topology.Order.LeftRightLim,0m2.242s,0m2.147s
Mathlib.Topology.Order.LiminfLimsup,0m2.215s,0m2.256s
Mathlib.Topology.Category.TopCat.Limits.Pullbacks,0m2.945s,0m2.879s
Mathlib.Algebra.Polynomial.CancelLeads,0m2.040s,0m2.056s
Mathlib.Algebra.Polynomial.Reverse,0m2.352s,0m2.263s
Mathlib.Algebra.Polynomial.Inductions,0m2.039s,0m2.151s
Mathlib.Algebra.Polynomial.DenomsClearable,0m2.035s,0m2.029s
Mathlib.AlgebraicTopology.SimplexCategory.GeneratorsRelations.EpiMono,0m2.367s,0m2.266s
Mathlib.CategoryTheory.SmallObject.Iteration.Nonempty,0m2.373s,0m2.358s
Mathlib.CategoryTheory.ChosenFiniteProducts.InfSemilattice,0m1.394s,0m1.443s
Mathlib.Algebra.Polynomial.CoeffList,0m2.538s,0m2.432s
Mathlib.CategoryTheory.Monoidal.Closed.Zero,0m1.615s,0m1.625s
Mathlib.CategoryTheory.Closed.Cartesian,0m1.422s,0m1.411s
Mathlib.Topology.Order.IntermediateValue,0m4.365s,0m4.304s
Mathlib.CategoryTheory.CopyDiscardCategory.Cartesian,0m1.752s,0m1.757s
Mathlib.CategoryTheory.Monoidal.Closed.Functor,0m1.977s,0m1.977s
Mathlib.CategoryTheory.Monoidal.Cartesian.CommMon_,0m1.613s,0m1.613s
Mathlib.CategoryTheory.Limits.FilteredColimitCommutesFiniteLimit,0m2.780s,0m2.363s
Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,0m2.593s,0m2.071s
Mathlib.CategoryTheory.ChosenFiniteProducts.Cat,0m1.355s,0m1.290s
Mathlib.CategoryTheory.Monoidal.Types.Coyoneda,0m1.502s,0m1.497s
Mathlib.CategoryTheory.Monoidal.Functor.Types,0m1.908s,0m1.827s
Mathlib.CategoryTheory.Monoidal.Internal.Types.Basic,0m2.022s,0m1.906s
Mathlib.CategoryTheory.Category.Cat.CartesianClosed,0m2.056s,0m1.804s
Mathlib.CategoryTheory.Monoidal.Cartesian.FunctorCategory,0m2.500s,0m2.392s
Mathlib.AlgebraicTopology.SimplicialObject.Coskeletal,0m1.719s,0m1.587s
Mathlib.AlgebraicTopology.SimplicialObject.Op,0m1.917s,0m1.791s
Mathlib.AlgebraicTopology.SimplicialObject.II,0m1.959s,0m1.786s
Mathlib.AlgebraicTopology.SimplicialObject.Split,0m2.451s,0m2.327s
Mathlib.AlgebraicTopology.SimplexCategory.Augmented.Basic,0m2.795s,0m2.509s
Mathlib.LinearAlgebra.Matrix.Circulant,0m1.841s,0m1.702s
Mathlib.Algebra.CharP.Subring,0m1.741s,0m1.621s
Mathlib.AlgebraicTopology.SimplicialSet.Basic,0m2.115s,0m2.007s
Mathlib.Algebra.Homology.ShortComplex.Retract,0m1.403s,0m1.406s
Mathlib.Data.Matrix.Reflection,0m1.945s,0m1.797s
Mathlib.Combinatorics.Optimization.ValuedCSP,0m1.818s,0m1.807s
Mathlib.LinearAlgebra.Matrix.Trace,0m2.353s,0m2.304s
Mathlib.GroupTheory.GroupAction.SubMulAction.Combination,0m2.735s,0m2.657s
Mathlib.CategoryTheory.Monoidal.Grp_,0m8.910s,0m8.004s
Mathlib.Algebra.Homology.ShortComplex.PreservesHomology,0m5.005s,0m4.775s
Mathlib.AlgebraicTopology.CechNerve,0m7.593s,0m7.179s
Mathlib.CategoryTheory.GradedObject.Unitor,0m3.805s,0m3.594s
Mathlib.CategoryTheory.Preadditive.Injective.Preserves,0m1.529s,0m1.386s
Mathlib.RingTheory.Algebraic.LinearIndependent,0m2.239s,0m2.110s
Mathlib.RingTheory.Binomial,0m3.161s,0m3.062s
Mathlib.RingTheory.MvPolynomial.Tower,0m1.820s,0m1.738s
Mathlib.RingTheory.Derivation.DifferentialRing,0m2.259s,0m2.123s
Mathlib.Algebra.MvPolynomial.Counit,0m1.727s,0m1.582s
Mathlib.CategoryTheory.Limits.Types.Multicoequalizer,0m1.657s,0m1.606s
Mathlib.GroupTheory.GroupAction.MultiplePrimitivity,0m7.341s,0m7.050s
Mathlib.Algebra.MvPolynomial.Rename,0m2.299s,0m2.550s
Mathlib.GroupTheory.Coxeter.Matrix,0m8.165s,0m8.898s
Mathlib.Algebra.CharP.IntermediateField,0m1.815s,0m1.859s
Mathlib.LinearAlgebra.SymmetricAlgebra.Basic,0m3.684s,0m3.776s
Mathlib.Data.Matrix.DualNumber,0m1.839s,0m1.858s
Mathlib.RingTheory.Bialgebra.Basic,0m2.754s,0m2.570s
Mathlib.RingTheory.TensorProduct.Finite,0m2.427s,0m2.347s
Mathlib.RingTheory.MvPowerSeries.Basic,0m5.500s,0m5.237s
Mathlib.RingTheory.TensorProduct.Pi,0m3.279s,0m3.188s
Mathlib.RingTheory.Nilpotent.Exp,0m3.556s,0m3.572s
Mathlib.FieldTheory.IntermediateField.Adjoin.Defs,0m5.190s,0m5.199s
Mathlib.LinearAlgebra.TensorProduct.Opposite,0m3.309s,0m2.517s
Mathlib.CategoryTheory.Subterminal,0m2.012s,0m1.909s
Mathlib.LinearAlgebra.TensorProduct.RightExactness,0m6.268s,0m5.731s
Mathlib.CategoryTheory.Subobject.Basic,0m3.263s,0m3.127s
Mathlib.CategoryTheory.Limits.Shapes.Reflexive,0m4.124s,0m4.082s
Mathlib.CategoryTheory.Limits.Shapes.ConcreteCategory,0m2.026s,0m2.009s
Mathlib.Algebra.Vertex.VertexOperator,0m2.026s,0m2.185s
Mathlib.CategoryTheory.Limits.Types.Pushouts,0m2.204s,0m2.240s
Mathlib.CategoryTheory.Sites.Precoverage,0m2.219s,0m2.414s
Mathlib.CategoryTheory.Sites.EffectiveEpimorphic,0m2.861s,0m2.846s
Mathlib.RingTheory.OrzechProperty,0m1.820s,0m1.709s
Mathlib.CategoryTheory.Sites.IsSheafFor,0m3.502s,0m3.373s
Mathlib.CategoryTheory.Sites.Grothendieck,0m2.735s,0m2.615s
Mathlib.LinearAlgebra.TensorPower.Pairing,0m1.915s,0m1.923s
Mathlib.LinearAlgebra.TensorProduct.Basis,0m2.760s,0m2.701s
Mathlib.CategoryTheory.Limits.Shapes.Diagonal,0m9.657s,0m9.229s
Mathlib.LinearAlgebra.TensorAlgebra.ToTensorPower,0m2.221s,0m2.126s
Mathlib.LinearAlgebra.TensorProduct.Submodule,0m3.460s,0m3.343s
Mathlib.RingTheory.GradedAlgebra.Basic,0m4.148s,0m3.728s
Mathlib.LinearAlgebra.FreeModule.Finite.Basic,0m1.643s,0m1.588s
Mathlib.RingTheory.IsTensorProduct,0m10.791s,0m9.857s
Mathlib.Algebra.Category.Grp.Biproducts,0m2.053s,0m1.711s
Mathlib.Algebra.Colimit.TensorProduct,0m1.823s,0m1.688s
Mathlib.CategoryTheory.Preadditive.AdditiveFunctor,0m2.093s,0m1.989s
Mathlib.Topology.Category.Sequential,0m1.611s,0m1.600s
Mathlib.Algebra.Homology.CommSq,0m4.540s,0m4.241s
Mathlib.Topology.UniformSpace.LocallyUniformConvergence,0m1.697s,0m1.692s
Mathlib.RingTheory.Coalgebra.Equiv,0m4.284s,0m3.918s
Mathlib.Topology.UniformSpace.CompleteSeparated,0m1.516s,0m1.401s
Mathlib.Topology.MetricSpace.Pseudo.Constructions,0m2.126s,0m2.015s
Mathlib.Analysis.Convex.Basic,0m3.887s,0m3.722s
Mathlib.Topology.UniformSpace.Pi,0m1.593s,0m1.595s
Mathlib.LinearAlgebra.Alternating.Basic,0m6.510s,0m5.935s
Mathlib.CategoryTheory.Abelian.Basic,0m5.818s,0m5.815s
Mathlib.Topology.Algebra.Order.Module,0m1.529s,0m1.396s
Mathlib.Topology.Baire.LocallyCompactRegular,0m1.429s,0m1.402s
Mathlib.Dynamics.Transitive,0m1.717s,0m1.696s
Mathlib.Topology.Spectral.Prespectral,0m1.922s,0m1.808s
Mathlib.GroupTheory.PGroup,0m2.401s,0m2.219s
Mathlib.Algebra.Order.Group.Cyclic,0m1.899s,0m1.809s
Mathlib.Topology.UniformSpace.Closeds,0m3.695s,0m3.668s
Mathlib.CategoryTheory.Action.Continuous,0m4.879s,0m4.773s
Mathlib.LinearAlgebra.Matrix.ToLin,0m9.864s,0m9.433s
Mathlib.GroupTheory.SpecificGroups.KleinFour,0m2.268s,0m2.218s
Mathlib.Topology.Algebra.Monoid,0m4.886s,0m4.560s
Mathlib.RingTheory.Ideal.Oka,0m1.724s,0m1.595s
Mathlib.RingTheory.Lasker,0m2.032s,0m1.916s
Mathlib.GroupTheory.ArchimedeanDensely,0m5.086s,0m4.792s
Mathlib.RingTheory.Noetherian.Basic,0m2.843s,0m2.720s
Mathlib.RingTheory.PrincipalIdealDomain,0m2.533s,0m2.523s
Mathlib.Algebra.Polynomial.Derivation,0m2.931s,0m2.772s
Mathlib.Algebra.Star.Unitary,0m5.019s,0m4.930s
Mathlib.Algebra.Algebra.Spectrum.Quasispectrum,0m4.820s,0m4.565s
Mathlib.RingTheory.SimpleModule.Basic,0m6.221s,0m5.748s
Mathlib.RingTheory.HahnSeries.Valuation,0m1.800s,0m1.699s
Mathlib.Topology.Covering,0m2.678s,0m2.597s
Mathlib.Topology.FiberBundle.Constructions,0m2.419s,0m2.195s
Mathlib.RingTheory.Valuation.PrimeMultiplicity,0m1.631s,0m1.590s
Mathlib.RingTheory.Valuation.ExtendToLocalization,0m2.033s,0m2.023s
Mathlib.Algebra.Polynomial.Module.Basic,0m4.314s,0m4.215s
Mathlib.Combinatorics.Hall.Basic,0m1.803s,0m1.702s
Mathlib.Combinatorics.SimpleGraph.Finsubgraph,0m1.936s,0m1.891s
Mathlib.Algebra.Order.Ring.Archimedean,0m3.521s,0m3.340s
Mathlib.Combinatorics.SimpleGraph.Ends.Defs,0m1.810s,0m1.724s
Mathlib.RingTheory.Valuation.Integers,0m3.891s,0m3.525s
Mathlib.Topology.Sheaves.PresheafOfFunctions,0m1.482s,0m1.488s
Mathlib.LinearAlgebra.AffineSpace.Basis,0m3.361s,0m3.316s
Mathlib.RingTheory.Valuation.ValuativeRel.Basic,0m5.316s,0m5.103s
Mathlib.RingTheory.Ideal.Quotient.Operations,0m11.480s,0m11.169s
Mathlib.Topology.Category.TopCat.EffectiveEpi,0m1.513s,0m1.519s
Mathlib.Algebra.Polynomial.Mirror,0m1.829s,0m1.803s
Mathlib.LinearAlgebra.AffineSpace.Simplex.Basic,0m4.056s,0m3.945s
Mathlib.CategoryTheory.Closed.Zero,0m1.275s,0m1.307s
Mathlib.Algebra.Polynomial.Monic,0m2.439s,0m2.399s
Mathlib.CategoryTheory.Extensive,0m4.362s,0m4.261s
Mathlib.Topology.Gluing,0m3.255s,0m3.149s
Mathlib.Geometry.RingedSpace.PresheafedSpace,0m6.126s,0m5.979s
Mathlib.CategoryTheory.Closed.Functor,0m1.287s,0m1.292s
Mathlib.CategoryTheory.Filtered.CostructuredArrow,0m1.504s,0m1.508s
Mathlib.Topology.Order.Compact,0m2.605s,0m2.615s
Mathlib.Algebra.Polynomial.Laurent,0m3.239s,0m3.253s
Mathlib.CategoryTheory.Monoidal.Closed.Types,0m1.584s,0m1.590s
Mathlib.CategoryTheory.Limits.Preserves.Presheaf,0m2.092s,0m2.028s
Mathlib.CategoryTheory.ChosenFiniteProducts.FunctorCategory,0m1.313s,0m1.307s
Mathlib.AlgebraicTopology.SimplexCategory.Augmented,0m1.417s,0m1.375s
Mathlib.CategoryTheory.Functor.Flat,0m3.575s,0m3.467s
Mathlib.AlgebraicTopology.SimplicialSet.Op,0m1.707s,0m1.710s
Mathlib.CategoryTheory.Enriched.Basic,0m3.163s,0m3.013s
Mathlib.Data.Matrix.Auto,0m1.508s,0m1.465s
Mathlib.AlgebraicTopology.SimplexCategory.GeneratorsRelations.NormalForms,0m5.919s,0m5.409s
Mathlib.AlgebraicTopology.SimplicialSet.CompStructTruncated,0m2.605s,0m2.585s
Mathlib.CategoryTheory.Monoidal.Internal.Types.Grp_,0m1.513s,0m1.486s
Mathlib.Combinatorics.SimpleGraph.AdjMatrix,0m2.097s,0m2.061s
Mathlib.LinearAlgebra.Matrix.Hadamard,0m2.031s,0m1.922s
Mathlib.AlgebraicTopology.SimplicialSet.Subcomplex,0m3.020s,0m2.927s
Mathlib.Algebra.MvPolynomial.Degrees,0m2.946s,0m2.799s
Mathlib.CategoryTheory.Monoidal.Cartesian.Grp_,0m4.724s,0m4.463s
Mathlib.CategoryTheory.Monoidal.CommGrp_,0m4.651s,0m4.383s
Mathlib.Algebra.MvPolynomial.Comap,0m1.690s,0m1.695s
Mathlib.GroupTheory.GroupAction.Jordan,0m4.766s,0m4.674s
Mathlib.CategoryTheory.Monoidal.Cartesian.Over,0m5.917s,0m5.526s
Mathlib.FieldTheory.PrimeField,0m1.718s,0m1.696s
Mathlib.RingTheory.HopfAlgebra.Basic,0m2.227s,0m2.225s
Mathlib.Algebra.Category.Ring.Epi,0m1.904s,0m1.904s
Mathlib.CategoryTheory.GradedObject.Monoidal,0m6.656s,0m6.401s
Mathlib.GroupTheory.Coxeter.Basic,0m3.197s,0m2.910s
Mathlib.RingTheory.MvPowerSeries.LexOrder,0m1.900s,0m1.891s
Mathlib.RingTheory.MvPowerSeries.Trunc,0m2.027s,0m2.012s
Mathlib.RingTheory.Bialgebra.Hom,0m3.773s,0m3.749s
Mathlib.RingTheory.MvPowerSeries.Order,0m2.921s,0m2.809s
Mathlib.AlgebraicTopology.SimplexCategory.Augmented.Monoidal,0m12.440s,0m12.348s
Mathlib.CategoryTheory.Monoidal.Closed.Ideal,0m2.226s,0m2.208s
Mathlib.CategoryTheory.Subobject.Presheaf,0m1.388s,0m1.386s
Mathlib.CategoryTheory.Subpresheaf.Subobject,0m1.927s,0m1.811s
Mathlib.CategoryTheory.Subobject.WellPowered,0m1.397s,0m1.414s
Mathlib.CategoryTheory.Subobject.HasCardinalLT,0m1.507s,0m1.485s
Mathlib.CategoryTheory.Subobject.FactorThru,0m1.697s,0m1.672s
Mathlib.CategoryTheory.Dialectica.Basic,0m2.210s,0m2.208s
Mathlib.CategoryTheory.Limits.Types.Shapes,0m1.277s,0m1.290s
Mathlib.CategoryTheory.Monad.Equalizer,0m1.586s,0m1.675s
Mathlib.LinearAlgebra.TensorProduct.Vanishing,0m2.921s,0m2.915s
Mathlib.CategoryTheory.Monad.Coequalizer,0m1.590s,0m1.562s
Mathlib.CategoryTheory.Sites.JointlySurjective,0m1.508s,0m1.498s
Mathlib.CategoryTheory.Subpresheaf.Sieves,0m1.375s,0m1.390s
Mathlib.RingTheory.QuotSMulTop,0m4.314s,0m4.411s
Mathlib.CategoryTheory.Sites.Pretopology,0m1.922s,0m1.909s
Mathlib.CategoryTheory.Sites.EqualizerSheafCondition,0m2.410s,0m2.412s
Mathlib.Algebra.Module.Projective,0m2.540s,0m2.493s
Mathlib.CategoryTheory.Galois.Basic,0m2.419s,0m2.278s
Mathlib.Algebra.Algebra.Subalgebra.Centralizer,0m3.132s,0m2.797s
Mathlib.CategoryTheory.Sites.Hypercover.Zero,0m4.082s,0m4.043s
Mathlib.CategoryTheory.MorphismProperty.Limits,0m3.342s,0m3.260s
Mathlib.LinearAlgebra.FreeProduct.Basic,0m3.142s,0m3.235s
Mathlib.LinearAlgebra.TensorAlgebra.Grading,0m2.530s,0m2.430s
Mathlib.Algebra.MonoidAlgebra.Grading,0m2.976s,0m3.059s
Mathlib.RingTheory.GradedAlgebra.Homogeneous.Subsemiring,0m2.090s,0m1.975s
Mathlib.RingTheory.GradedAlgebra.Homogeneous.Submodule,0m2.121s,0m2.023s
Mathlib.RingTheory.MvPolynomial.WeightedHomogeneous,0m2.796s,0m2.811s
Mathlib.Algebra.Module.GradedModule,0m3.634s,0m3.577s
Mathlib.Algebra.Category.Grp.CartesianMonoidal,0m1.786s,0m1.809s
Mathlib.RingTheory.PolynomialAlgebra,0m2.810s,0m2.810s
Mathlib.RingTheory.TensorProduct.MonoidAlgebra,0m3.369s,0m3.254s
Mathlib.CategoryTheory.Center.Localization,0m1.485s,0m1.476s
Mathlib.CategoryTheory.Preadditive.EilenbergMoore,0m2.013s,0m1.935s
Mathlib.CategoryTheory.Shift.Pullback,0m3.500s,0m3.427s
Mathlib.LinearAlgebra.TensorProduct.Subalgebra,0m10.037s,0m9.164s
Mathlib.RingTheory.Localization.BaseChange,0m6.578s,0m6.616s
Mathlib.CategoryTheory.Preadditive.EndoFunctor,0m2.035s,0m1.889s
Mathlib.CategoryTheory.Preadditive.LeftExact,0m1.671s,0m1.619s
Mathlib.CategoryTheory.Preadditive.Opposite,0m1.820s,0m1.828s
Mathlib.CategoryTheory.Localization.CalculusOfFractions.Preadditive,0m2.200s,0m2.205s
Mathlib.CategoryTheory.Preadditive.Transfer,0m1.405s,0m1.396s
Mathlib.CategoryTheory.Shift.ShiftSequence,0m2.630s,0m2.529s
Mathlib.Algebra.Category.ModuleCat.Basic,0m5.470s,0m5.414s
Mathlib.CategoryTheory.Preadditive.Mat,0m6.579s,0m6.335s
Mathlib.CategoryTheory.Quotient.Preadditive,0m1.711s,0m1.700s
Mathlib.CategoryTheory.Linear.LinearFunctor,0m1.803s,0m1.783s
Mathlib.Topology.UniformSpace.UniformApproximation,0m1.505s,0m1.583s
Mathlib.Topology.Algebra.Star.Real,0m1.495s,0m1.511s
Mathlib.Topology.MetricSpace.Pseudo.Lemmas,0m1.800s,0m1.797s
Mathlib.Analysis.Convex.NNReal,0m1.794s,0m1.765s
Mathlib.CategoryTheory.Monoidal.Preadditive,0m2.824s,0m2.731s
Mathlib.Topology.EMetricSpace.Basic,0m2.837s,0m2.849s
Mathlib.Topology.UniformSpace.Ultra.Constructions,0m1.398s,0m1.405s
Mathlib.Analysis.Convex.Hull,0m1.979s,0m1.910s
Mathlib.Topology.UniformSpace.Equiv,0m2.085s,0m1.970s
Mathlib.LinearAlgebra.Alternating.Curry,0m1.786s,0m1.776s
Mathlib.LinearAlgebra.TensorProduct.Graded.Internal,0m16.890s,0m15.798s
Mathlib.CategoryTheory.Idempotents.Basic,0m1.585s,0m1.577s
Mathlib.Algebra.Homology.ShortComplex.Abelian,0m2.729s,0m2.661s
Mathlib.Topology.Spectral.Basic,0m1.402s,0m1.298s
Mathlib.CategoryTheory.Abelian.FunctorCategory,0m2.135s,0m2.160s
Mathlib.LinearAlgebra.Matrix.Determinant.Basic,0m5.016s,0m5.004s
Mathlib.Analysis.Convex.Function,0m5.591s,0m5.503s
Mathlib.LinearAlgebra.Alternating.DomCoprod,0m4.326s,0m4.384s
Mathlib.Topology.Constructible,0m2.323s,0m2.337s
Mathlib.RingTheory.Coalgebra.TensorProduct,0m8.132s,0m8.256s
Mathlib.RingTheory.TensorProduct.Free,0m2.131s,0m2.124s
Mathlib.LinearAlgebra.Matrix.Dual,0m2.030s,0m2.006s
Mathlib.GroupTheory.Torsion,0m2.927s,0m2.905s
Mathlib.GroupTheory.Sylow,0m3.627s,0m3.512s
Mathlib.RingTheory.Nilpotent.Lemmas,0m1.902s,0m1.898s
Mathlib.ModelTheory.Arithmetic.Presburger.Semilinear.Basic,0m3.850s,0m3.526s
Mathlib.GroupTheory.SpecificGroups.Dihedral,0m2.411s,0m2.414s
Mathlib.Topology.Algebra.Group.AddTorsor,0m1.588s,0m1.816s
Mathlib.Topology.ApproximateUnit,0m1.510s,0m1.535s
Mathlib.Topology.Algebra.GroupWithZero,0m2.104s,0m2.092s
Mathlib.Dynamics.Flow,0m2.113s,0m2.009s
Mathlib.Topology.Algebra.Monoid.FunOnFinite,0m1.479s,0m1.492s
Mathlib.LinearAlgebra.Complex.Module,0m4.458s,0m4.514s
Mathlib.RingTheory.GradedAlgebra.Noetherian,0m1.722s,0m1.727s
Mathlib.RingTheory.Noetherian.OfPrime,0m1.792s,0m1.793s
Mathlib.FieldTheory.Tower,0m1.682s,0m1.727s
Mathlib.RingTheory.Noetherian.Orzech,0m1.787s,0m1.799s
Mathlib.Topology.Sets.CompactOpenCovered,0m7.785s,0m7.849s
Mathlib.RingTheory.PrincipalIdealDomainOfPrime,0m1.710s,0m1.710s
Mathlib.RingTheory.EuclideanDomain,0m1.721s,0m1.677s
Mathlib.RingTheory.Int.Basic,0m1.725s,0m1.714s
Mathlib.RingTheory.SimpleRing.Principal,0m1.577s,0m1.508s
Mathlib.RingTheory.Bezout,0m1.606s,0m1.672s
Mathlib.NumberTheory.FLT.Basic,0m2.493s,0m2.426s
Mathlib.Algebra.Star.UnitaryStarAlgAut,0m2.018s,0m2.016s
Mathlib.RingTheory.Ideal.IsPrincipal,0m2.306s,0m2.351s
Mathlib.Topology.Algebra.Group.Basic,0m6.093s,0m6.107s
Mathlib.Topology.Algebra.Star.Unitary,0m1.955s,0m1.936s
Mathlib.Algebra.Algebra.Spectrum.Pi,0m1.896s,0m1.825s
Mathlib.Algebra.Algebra.StrictPositivity,0m2.110s,0m2.095s
Mathlib.RingTheory.Jacobson.Semiprimary,0m1.978s,0m1.926s
Mathlib.Combinatorics.SimpleGraph.Ends.Properties,0m1.493s,0m1.480s
Mathlib.Algebra.Polynomial.Module.TensorProduct,0m2.725s,0m2.509s
Mathlib.Combinatorics.SimpleGraph.Hall,0m2.192s,0m2.202s
Mathlib.RingTheory.Valuation.ValuativeRel,0m1.497s,0m1.620s
Mathlib.RepresentationTheory.Maschke,0m2.950s,0m2.914s
Mathlib.RingTheory.Valuation.ValuativeRel.Trivial,0m1.976s,0m1.889s
Mathlib.NumberTheory.Zsqrtd.Basic,0m3.852s,0m3.804s
Mathlib.RingTheory.Ideal.Quotient.Index,0m2.520s,0m2.487s
Mathlib.RingTheory.TensorProduct.Quotient,0m2.498s,0m2.425s
Mathlib.RingTheory.Jacobson.Ideal,0m2.528s,0m2.515s
Mathlib.RingTheory.Ideal.Quotient.ChineseRemainder,0m3.351s,0m3.152s
Mathlib.RingTheory.Ideal.Over,0m3.263s,0m3.326s
Mathlib.RingTheory.Ideal.AssociatedPrime.Basic,0m3.106s,0m3.016s
Mathlib.RingTheory.SimpleModule.Isotypic,0m5.130s,0m4.984s
Mathlib.RingTheory.Valuation.Quotient,0m1.801s,0m1.717s
Mathlib.RingTheory.Ideal.Quotient.Noetherian,0m1.677s,0m1.702s
Mathlib.RingTheory.Derivation.ToSquareZero,0m2.627s,0m2.617s
Mathlib.LinearAlgebra.AffineSpace.Simplex.Centroid,0m1.692s,0m1.718s
Mathlib.RingTheory.Localization.Ideal,0m2.718s,0m2.697s
Mathlib.Algebra.Polynomial.UnitTrinomial,0m2.090s,0m2.068s
Mathlib.CategoryTheory.EffectiveEpi.Extensive,0m1.595s,0m1.578s
Mathlib.Topology.Category.CompHausLike.Limits,0m2.239s,0m2.312s
Mathlib.Algebra.Polynomial.Lifts,0m1.788s,0m1.806s
Mathlib.RingTheory.Idempotents,0m3.667s,0m3.624s
Mathlib.CategoryTheory.Adhesive,0m2.310s,0m2.309s
Mathlib.Algebra.Polynomial.GroupRingAction,0m2.009s,0m2.016s
Mathlib.Algebra.Polynomial.Degree.IsMonicOfDegree,0m1.901s,0m1.880s
Mathlib.CategoryTheory.Closed.Types,0m1.288s,0m1.386s
Mathlib.Topology.Order.Rolle,0m1.489s,0m1.597s
Mathlib.RingTheory.Coalgebra.MonoidAlgebra,0m1.914s,0m2.015s
Mathlib.Algebra.Polynomial.Div,0m3.305s,0m3.209s
Mathlib.Algebra.Polynomial.Sequence,0m2.022s,0m2.158s
Mathlib.Algebra.Polynomial.BigOperators,0m2.015s,0m2.792s
Mathlib.CategoryTheory.Limits.Sifted,0m2.113s,0m2.401s
Mathlib.CategoryTheory.Filtered.Flat,0m1.393s,0m1.411s
Mathlib.AlgebraicTopology.SimplicialSet.Simplices,0m1.597s,0m1.744s
Mathlib.Combinatorics.SimpleGraph.StronglyRegular,0m1.887s,0m1.988s
Mathlib.AlgebraicTopology.SimplicialSet.CompStruct,0m2.300s,0m2.325s
Mathlib.CategoryTheory.Enriched.EnrichedCat,0m2.620s,0m2.630s
Mathlib.CategoryTheory.Functor.FunctorHom,0m2.935s,0m2.965s
Mathlib.CategoryTheory.Enriched.Ordinary.Basic,0m2.815s,0m2.860s
Mathlib.AlgebraicTopology.SimplicialSet.SubcomplexColimits,0m1.602s,0m1.708s
Mathlib.Algebra.MvPolynomial.Variables,0m2.010s,0m2.010s
Mathlib.AlgebraicTopology.SimplicialSet.Degenerate,0m2.200s,0m2.193s
Mathlib.AlgebraicTopology.Quasicategory.TwoTruncated,0m4.090s,0m4.095s
Mathlib.RingTheory.MvPolynomial.Basic,0m1.830s,0m1.899s
Mathlib.CategoryTheory.Monoidal.Internal.Types.CommGrp_,0m1.686s,0m1.616s
Mathlib.CategoryTheory.ChosenFiniteProducts.Over,0m1.289s,0m1.295s
Mathlib.CategoryTheory.Monoidal.Cartesian.CommGrp_,0m2.531s,0m2.305s
Mathlib.CategoryTheory.Preadditive.CommGrp_,0m2.094s,0m1.987s
Mathlib.GroupTheory.Coxeter.Length,0m2.211s,0m2.294s
Mathlib.CategoryTheory.Closed.Ideal,0m1.368s,0m1.400s
