module,normal_time,skipkernel_time
Mathlib.Util.AddRelatedDecl,0m1.096s,0m1.100s
Mathlib.Algebra.HierarchyDesign,0m0.994s,0m1.014s
Mathlib.Tactic.Monotonicity.Basic,0m0.888s,0m0.914s
Mathlib.Data.Stream.Defs,0m1.099s,0m1.005s
Mathlib.Data.Nat.NthRoot.Defs,0m0.789s,0m0.767s
Mathlib.Tactic.Generalize,0m0.800s,0m0.785s
Mathlib.Tactic.CategoryTheory.Coherence.Datatypes,0m1.320s,0m1.285s
Mathlib.Algebra.Expr,0m1.007s,0m0.901s
Mathlib.Util.Superscript,0m1.119s,0m1.077s
Mathlib.Logic.Function.Coequalizer,0m0.782s,0m0.812s
Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.PositiveVector,0m0.796s,0m0.784s
Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Note,0m0.903s,0m1.021s
Mathlib.Algebra.Notation.Lemmas,0m1.112s,0m1.112s
Mathlib.Order.Defs.PartialOrder,0m1.306s,0m1.387s
Mathlib.Algebra.Notation,0m1.237s,0m1.117s
Mathlib.Order.Defs.Unbundled,0m1.297s,0m1.308s
Mathlib.Order.Notation,0m1.407s,0m1.503s
Mathlib.Algebra.Notation.Defs,0m1.317s,0m1.324s
Mathlib.Data.TwoPointing,0m1.005s,0m1.087s
Mathlib.Control.Lawful,0m0.998s,0m0.992s
Mathlib.Tactic.CategoryTheory.Coherence.PureCoherence,0m1.426s,0m1.326s
Mathlib.Data.Num.Basic,0m1.128s,0m1.104s
Mathlib.Data.Bool.AllAny,0m0.812s,0m0.789s
Mathlib.Data.Array.Extract,0m1.204s,0m1.222s
Mathlib.Algebra.NeZero,0m0.996s,0m1.019s
Mathlib.Order.Interval.Set.Defs,0m1.100s,0m1.125s
Mathlib.Tactic.CategoryTheory.Coherence.Normalize,0m2.044s,0m2.160s
Mathlib.Data.Sigma.Lex,0m1.121s,0m1.105s
Mathlib.Tactic.DepRewrite,0m2.665s,0m2.670s
Mathlib.Order.Defs.LinearOrder,0m1.903s,0m1.891s
Mathlib.Order.TypeTags,0m0.992s,0m0.987s
Mathlib.Algebra.Regular.Defs,0m0.996s,0m1.006s
Mathlib.Logic.Relation,0m1.626s,0m1.604s
Mathlib.Algebra.Notation.Pi.Defs,0m1.301s,0m1.314s
Mathlib.Data.List.Lookmap,0m0.882s,0m0.892s
Mathlib.Logic.Function.Basic,0m1.806s,0m1.807s
Mathlib.Data.List.Indexes,0m0.896s,0m0.893s
Mathlib.Data.List.ModifyLast,0m0.794s,0m0.799s
Mathlib.Combinatorics.SimpleGraph.Init,0m7.949s,0m7.873s
Mathlib.Data.Ordering.Lemmas,0m1.013s,0m1.008s
Mathlib.Tactic.ContinuousFunctionalCalculus,0m1.110s,0m1.098s
Mathlib.Combinatorics.Matroid.Init,0m1.024s,0m1.004s
