rank,module,normal_time,skipkernel_time,time_diff,pct_diff
850,Mathlib.Analysis.Complex.UpperHalfPlane.FunctionsBoundedAtInfty,2.51,2.29,0.22,9.7
851,Mathlib.GroupTheory.Perm.Sign,2.74,2.50,0.24,9.7
852,Mathlib.Topology.Category.Stonean.EffectiveEpi,2.21,2.02,0.20,9.7
853,Mathlib.NumberTheory.ModularForms.SlashInvariantForms,3.74,3.41,0.33,9.7
854,Mathlib.RingTheory.Congruence.Hom,4.69,4.27,0.42,9.7
855,Mathlib.CategoryTheory.Sites.CartesianClosed,1.63,1.48,0.14,9.7
856,Mathlib.MeasureTheory.Constructions.Projective,2.32,2.11,0.21,9.7
857,Mathlib.Order.Interval.Set.Infinite,1.31,1.20,0.12,9.7
858,Mathlib.LinearAlgebra.ExteriorAlgebra.Basic,5.02,4.58,0.44,9.7
859,Mathlib.LinearAlgebra.Alternating.Basic,6.51,5.93,0.58,9.7
860,Mathlib.Order.TeichmullerTukey,1.44,1.31,0.13,9.7
861,Mathlib.AlgebraicTopology.SimplicialObject.II,1.96,1.79,0.17,9.7
862,Mathlib.RingTheory.Finiteness.Bilinear,1.65,1.51,0.15,9.7
863,Mathlib.CategoryTheory.Limits.EpiMono,1.54,1.41,0.14,9.7
864,Mathlib.RingTheory.Polynomial.UniqueFactorization,2.44,2.22,0.21,9.7
865,Mathlib.Topology.Algebra.ProperAction.AddTorsor,1.63,1.49,0.14,9.7
866,Mathlib.Topology.MetricSpace.Similarity,1.86,1.70,0.16,9.7
867,Mathlib.Topology.Algebra.Module.FiniteDimension,9.69,8.84,0.85,9.6
868,Mathlib.Data.Matrix.Block,3.20,2.92,0.28,9.6
869,Mathlib.Algebra.Homology.Embedding.TruncGE,3.23,2.95,0.28,9.6
870,Mathlib.Order.Interval.Set.Final,1.40,1.28,0.12,9.6
871,Mathlib.Tactic.Continuity,1.11,1.01,0.10,9.6
872,Mathlib.RepresentationTheory.Homological.GroupCohomology.LowDegree,11.97,10.92,1.05,9.6
873,Mathlib.Algebra.Polynomial.Eval.Algebra,1.49,1.36,0.13,9.6
874,Mathlib.Combinatorics.SimpleGraph.Triangle.Basic,3.10,2.83,0.27,9.6
875,Mathlib.Topology.MetricSpace.TransferInstance,1.66,1.51,0.15,9.6
876,Mathlib.Algebra.Category.Grp.Images,1.95,1.78,0.17,9.6
877,Mathlib.Algebra.GroupWithZero.Idempotent,1.19,1.08,0.10,9.6
878,Mathlib.CategoryTheory.Enriched.Limits.HasConicalProducts,1.38,1.26,0.12,9.6
879,Mathlib.NumberTheory.LSeries.Basic,3.06,2.80,0.27,9.6
880,Mathlib.RingTheory.Polynomial.Cyclotomic.Expand,2.68,2.44,0.23,9.6
881,Mathlib.Topology.LocalAtTarget,2.05,1.87,0.18,9.6
882,Mathlib.AlgebraicTopology.SimplicialSet.NerveAdjunction,11.96,10.91,1.04,9.6
883,Mathlib.MeasureTheory.Group.Convolution,2.90,2.65,0.25,9.6
884,Mathlib.Topology.Algebra.Nonarchimedean.TotallyDisconnected,1.84,1.68,0.16,9.6
885,Mathlib.CategoryTheory.Monoidal.Internal.FunctorCategory,7.52,6.86,0.66,9.6
886,Mathlib.RingTheory.Regular.Depth,3.78,3.45,0.33,9.6
887,Mathlib.Data.Sigma.Interval,1.98,1.81,0.17,9.6
888,Mathlib.Order.CompleteLattice.MulticoequalizerDiagram,1.63,1.49,0.14,9.6
889,Mathlib.ModelTheory.Skolem,1.64,1.50,0.14,9.6
890,Mathlib.Analysis.Normed.Affine.Convex,3.40,3.10,0.30,9.6
891,Mathlib.RingTheory.TensorProduct.Basic,11.48,10.48,1.00,9.5
892,Mathlib.Data.Fintype.List,1.55,1.42,0.14,9.5
893,Mathlib.LinearAlgebra.CliffordAlgebra.Basic,5.75,5.25,0.50,9.5
894,Mathlib.Geometry.Euclidean.Angle.Unoriented.Basic,3.08,2.81,0.27,9.5
895,Mathlib.Topology.Algebra.Order.Module,1.53,1.40,0.13,9.5
896,Mathlib.LinearAlgebra.TensorProduct.Subalgebra,10.04,9.16,0.87,9.5
897,Mathlib.Topology.MetricSpace.Pseudo.Defs,3.64,3.32,0.32,9.5
898,Mathlib.Algebra.Category.Grp.LeftExactFunctor,2.65,2.42,0.23,9.5
899,Mathlib.Combinatorics.SetFamily.HarrisKleitman,1.63,1.49,0.14,9.5
900,Mathlib.RingTheory.IsTensorProduct,10.79,9.86,0.93,9.5
901,Mathlib.Topology.Clopen,1.50,1.37,0.13,9.5
902,Mathlib.Order.Filter.AtTopBot.Map,1.32,1.21,0.11,9.5
903,Mathlib.CategoryTheory.Sites.Coherent.Equivalence,2.08,1.91,0.18,9.4
904,Mathlib.GroupTheory.MonoidLocalization.MonoidWithZero,1.85,1.70,0.16,9.4
905,Mathlib.Order.Lattice,2.62,2.40,0.23,9.4
906,Mathlib.AlgebraicTopology.SimplexCategory.GeneratorsRelations.NormalForms,5.92,5.41,0.51,9.4
907,Mathlib.Topology.Order.OrderClosed,3.27,2.99,0.28,9.4
908,Mathlib.RingTheory.RingHomProperties,2.89,2.64,0.25,9.4
909,Mathlib.Data.Ordmap.Ordset,2.40,2.20,0.21,9.4
910,Mathlib.CategoryTheory.Limits.Final.Type,1.51,1.38,0.13,9.4
911,Mathlib.CategoryTheory.Abelian.DiagramLemmas.Four,3.55,3.25,0.31,9.4
912,Mathlib.GroupTheory.IndexNormal,1.61,1.47,0.14,9.4
913,Mathlib.LinearAlgebra.AffineSpace.Pointwise,2.26,2.07,0.19,9.4
914,Mathlib.Algebra.MonoidAlgebra.Basic,5.08,4.65,0.44,9.4
915,Mathlib.Probability.ProbabilityMassFunction.Monad,2.85,2.60,0.24,9.4
916,Mathlib.LinearAlgebra.TensorProduct.RightExactness,6.27,5.73,0.54,9.4
917,Mathlib.NumberTheory.ArithmeticFunction.Defs,3.97,3.63,0.34,9.4
918,Mathlib.Data.ZMod.IntUnitsPower,1.82,1.67,0.16,9.4
919,Mathlib.MeasureTheory.Constructions.Polish.Basic,3.33,3.04,0.29,9.4
920,Mathlib.CategoryTheory.Triangulated.Functor,12.09,11.05,1.04,9.4
921,Mathlib.CategoryTheory.Abelian.Injective.Extend,2.06,1.88,0.18,9.4
922,Mathlib.Tactic.Basic,1.43,1.30,0.12,9.4
923,Mathlib.RingTheory.PowerBasis,3.86,3.53,0.33,9.4
924,Mathlib.Data.Stream.Defs,1.10,1.00,0.09,9.4
925,Mathlib.Analysis.Normed.Group.Constructions,2.74,2.50,0.23,9.3
926,Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.ExpLog.Basic,5.25,4.80,0.45,9.3
927,Mathlib.Analysis.Meromorphic.NormalForm,4.06,3.71,0.35,9.3
928,Mathlib.RingTheory.Coalgebra.Equiv,4.28,3.92,0.37,9.3
929,Mathlib.Algebra.Module.Submodule.Order,1.29,1.18,0.11,9.3
930,Mathlib.Algebra.Group.Invertible.Basic,1.42,1.30,0.12,9.3
931,Mathlib.Analysis.Fourier.FiniteAbelian.PontryaginDuality,4.15,3.80,0.35,9.3
932,Mathlib.Analysis.InnerProductSpace.Defs,5.11,4.67,0.43,9.3
933,Mathlib.CategoryTheory.Galois.EssSurj,3.47,3.17,0.30,9.3
934,Mathlib.MeasureTheory.Function.SimpleFunc,5.88,5.38,0.50,9.3
935,Mathlib.RingTheory.Regular.RegularSequence,5.74,5.25,0.49,9.3
936,Mathlib.RingTheory.Spectrum.Maximal.Basic,1.62,1.49,0.14,9.3
937,Mathlib.Data.List.Triplewise,1.85,1.69,0.16,9.3
938,Mathlib.RingTheory.Polynomial.Pochhammer,2.52,2.31,0.21,9.3
939,Mathlib.Algebra.Order.BigOperators.GroupWithZero.List,1.29,1.19,0.11,9.3
940,Mathlib.CategoryTheory.Limits.Skeleton,1.30,1.19,0.11,9.3
941,Mathlib.Tactic.ENatToNat,1.64,1.50,0.14,9.3
942,Mathlib.Topology.Sheaves.SheafCondition.UniqueGluing,2.19,2.01,0.19,9.3
943,Mathlib.Combinatorics.Enumerative.Partition,1.39,1.27,0.12,9.3
944,Mathlib.Analysis.Normed.Module.Connected,2.97,2.72,0.25,9.3
945,Mathlib.Topology.MetricSpace.GromovHausdorff,6.78,6.21,0.58,9.3
946,Mathlib.Algebra.Homology.Refinements,1.62,1.48,0.14,9.3
947,Mathlib.Topology.ContinuousMap.Basic,2.75,2.52,0.23,9.3
948,Mathlib.Data.Finsupp.MonomialOrder.DegLex,2.64,2.42,0.22,9.3
949,Mathlib.RingTheory.HahnSeries.Multiplication,7.87,7.20,0.67,9.2
950,Mathlib.RepresentationTheory.Induced,16.35,14.97,1.38,9.2
951,Mathlib.Topology.Algebra.Category.ProfiniteGrp.Basic,6.27,5.74,0.53,9.2
952,Mathlib.Topology.Instances.TrivSqZeroExt,2.31,2.11,0.19,9.2
953,Mathlib.Algebra.Group.Subgroup.Map,3.67,3.36,0.31,9.2
954,Mathlib.Topology.Algebra.StarSubalgebra,3.19,2.92,0.27,9.2
955,Mathlib.Data.Set.Defs,1.72,1.57,0.15,9.2
956,Mathlib.Algebra.Group.UniqueProds.VectorSpace,1.60,1.47,0.14,9.2
957,Mathlib.GroupTheory.Perm.Option,1.52,1.39,0.13,9.2
958,Mathlib.LinearAlgebra.Matrix.Notation,3.59,3.29,0.30,9.2
959,Mathlib.Topology.Algebra.Module.Compact,1.73,1.59,0.15,9.2
960,Mathlib.RingTheory.HahnSeries.HahnEmbedding,2.99,2.74,0.25,9.2
961,Mathlib.ModelTheory.Arithmetic.Presburger.Semilinear.Basic,3.85,3.53,0.32,9.2
962,Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Commute,4.79,4.39,0.40,9.2
963,Mathlib.Tactic.Choose,1.64,1.50,0.14,9.2
964,Mathlib.Combinatorics.Quiver.Prefunctor,1.31,1.20,0.11,9.2
965,Mathlib.Algebra.MvPolynomial.Counit,1.73,1.58,0.15,9.2
966,Mathlib.Tactic.Linter.Lint,2.61,2.39,0.22,9.2
967,Mathlib.Logic.Small.Defs,1.11,1.01,0.09,9.2
968,Mathlib.Algebra.Group.Pointwise.Set.Finite,1.84,1.68,0.15,9.2
969,Mathlib.RingTheory.PicardGroup,8.47,7.76,0.71,9.2
970,Mathlib.Tactic.FunProp.FunctionData,1.41,1.29,0.12,9.1
971,Mathlib.Analysis.InnerProductSpace.LinearPMap,5.91,5.42,0.50,9.1
972,Mathlib.Analysis.Calculus.LocalExtr.Rolle,2.20,2.01,0.18,9.1
973,Mathlib.SetTheory.Nimber.Field,5.95,5.45,0.50,9.1
974,Mathlib.AlgebraicTopology.FundamentalGroupoid.InducedMaps,2.95,2.71,0.25,9.1
975,Mathlib.Order.Atoms.Finite,1.51,1.38,0.13,9.1
976,Mathlib.Data.Nat.Choose.Vandermonde,1.61,1.48,0.14,9.1
977,Mathlib.CategoryTheory.Limits.IsConnected,1.61,1.48,0.14,9.1
978,Mathlib.Order.Circular.ZMod,1.44,1.32,0.12,9.1
979,Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Basic,12.30,11.27,1.03,9.1
980,Mathlib.Algebra.Group.ULift,1.63,1.49,0.14,9.1
981,Mathlib.Combinatorics.Colex,2.71,2.48,0.23,9.1
982,Mathlib.NumberTheory.Padics.ProperSpace,2.05,1.88,0.17,9.1
983,Mathlib.RingTheory.AdjoinRoot,11.17,10.24,0.93,9.1
984,Mathlib.Topology.MetricSpace.Closeds,2.83,2.60,0.24,9.1
985,Mathlib.NumberTheory.ModularForms.SlashActions,3.38,3.10,0.28,9.1
986,Mathlib.LinearAlgebra.Matrix.IsDiag,1.91,1.75,0.16,9.1
987,Mathlib.Tactic.SetLike,1.10,1.01,0.09,9.1
988,Mathlib.Tactic.Find,1.29,1.18,0.11,9.1
989,Mathlib.Algebra.Regular.Opposite,1.23,1.12,0.10,9.1
990,Mathlib.Data.List.NatAntidiagonal,1.30,1.19,0.11,9.1
991,Mathlib.Topology.Algebra.ConstMulAction,4.19,3.84,0.35,9.1
992,Mathlib.Geometry.Euclidean.Basic,2.87,2.63,0.24,9.1
993,Mathlib.RingTheory.MvPowerSeries.PiTopology,2.54,2.33,0.21,9.1
994,Mathlib.Data.DFinsupp.Ext,1.42,1.30,0.12,9.0
995,Mathlib.Analysis.InnerProductSpace.Orthogonal,4.20,3.85,0.35,9.0
996,Mathlib.Algebra.Homology.LocalCohomology,2.51,2.30,0.21,9.0
997,Mathlib.CategoryTheory.Localization.Construction,2.41,2.21,0.20,9.0
998,Mathlib.Topology.Category.Profinite.Nobeling.Basic,3.65,3.34,0.30,9.0
999,Mathlib.CategoryTheory.ComposableArrows.Two,1.51,1.38,0.12,9.0
1000,Mathlib.CategoryTheory.GuitartExact.Basic,3.70,3.39,0.31,9.0
1001,Mathlib.RingTheory.Artinian.Algebra,2.24,2.05,0.19,9.0
1002,Mathlib.Tactic.NormNum.OfScientific,1.66,1.52,0.14,9.0
1003,Mathlib.Algebra.Group.Action.Sigma,1.32,1.21,0.11,9.0
1004,Mathlib.CategoryTheory.Limits.Types.Multiequalizer,1.52,1.40,0.13,9.0
1005,Mathlib.LinearAlgebra.QuadraticForm.TensorProduct.Isometries,6.23,5.71,0.52,9.0
1006,Mathlib.CategoryTheory.Dialectica.Monoidal,4.55,4.18,0.38,9.0
1007,Mathlib.NumberTheory.TsumDivsorsAntidiagonal,2.82,2.59,0.23,9.0
1008,Mathlib.Algebra.Lie.Engel,3.85,3.53,0.32,9.0
1009,Mathlib.CategoryTheory.RepresentedBy,1.53,1.40,0.13,9.0
1010,Mathlib.Topology.Algebra.Group.CompactOpen,2.87,2.63,0.24,9.0
1011,Mathlib.Algebra.FiveLemma,3.43,3.14,0.28,9.0
1012,Mathlib.Analysis.Analytic.ConvergenceRadius,9.19,8.43,0.76,9.0
1013,Mathlib.GroupTheory.GroupAction.Iwasawa,1.70,1.56,0.14,9.0
1014,Mathlib.Data.Sigma.Basic,1.33,1.22,0.11,9.0
1015,Mathlib.Algebra.Field.ZMod,1.61,1.47,0.13,9.0
1016,Mathlib.CategoryTheory.Subpresheaf.OfSection,1.51,1.39,0.12,9.0
1017,Mathlib.MeasureTheory.Measure.Complex,2.77,2.54,0.23,8.9
1018,Mathlib.CategoryTheory.Generator.HomologicalComplex,1.63,1.50,0.13,8.9
1019,Mathlib.NumberTheory.Padics.Complex,3.76,3.45,0.31,8.9
1020,Mathlib.Topology.Algebra.Module.LinearMap,10.89,10.00,0.89,8.9
1021,Mathlib.Topology.Compactness.CompactlyGeneratedSpace,2.41,2.21,0.20,8.9
1022,Mathlib.CategoryTheory.Comma.Over.Basic,13.70,12.58,1.12,8.9
1023,Mathlib.CategoryTheory.Limits.Constructions.Equalizers,2.14,1.97,0.17,8.9
1024,Mathlib.RingTheory.Extension.Presentation.Submersive,4.04,3.71,0.33,8.9
1025,Mathlib.NumberTheory.ModularForms.CongruenceSubgroups,4.09,3.75,0.33,8.9
1026,Mathlib.RingTheory.MvPolynomial.Ideal,2.04,1.88,0.17,8.9
1027,Mathlib.Order.UpperLower.Principal,1.69,1.55,0.14,8.9
1028,Mathlib.Order.PrimeSeparator,1.82,1.68,0.15,8.9
1029,Mathlib.Combinatorics.SimpleGraph.Extremal.TuranDensity,2.19,2.01,0.18,8.9
1030,Mathlib.CategoryTheory.Limits.Constructions.EpiMono,1.52,1.40,0.12,8.9
1031,Mathlib.Data.DFinsupp.NeLocus,1.63,1.50,0.13,8.9
1032,Mathlib.FieldTheory.Finite.Trace,2.20,2.02,0.18,8.9
1033,Mathlib.CategoryTheory.Limits.Preserves.Shapes.Biproducts,2.31,2.12,0.19,8.9
1034,Mathlib.CategoryTheory.Limits.Indization.Products,1.53,1.41,0.12,8.9
1035,Mathlib.Algebra.Homology.DerivedCategory.ExactFunctor,2.28,2.10,0.19,8.9
1036,Mathlib.LinearAlgebra.FiniteSpan,1.60,1.47,0.13,8.9
1037,Mathlib.ModelTheory.FinitelyGenerated,1.72,1.58,0.14,8.9
1038,Mathlib.MeasureTheory.Constructions.SubmoduleQuotient,1.39,1.27,0.11,8.9
1039,Mathlib.Tactic.Lift,1.75,1.60,0.14,8.9
1040,Mathlib.Topology.Algebra.InfiniteSum.Basic,4.47,4.11,0.36,8.9
1041,Mathlib.FieldTheory.NormalizedTrace,4.35,4.00,0.35,8.9
1042,Mathlib.Algebra.Polynomial.Basis,1.52,1.40,0.12,8.9
1043,Mathlib.Algebra.Module.LocalizedModule.AtPrime,1.51,1.39,0.12,8.8
1044,Mathlib.LinearAlgebra.Countable,1.49,1.37,0.12,8.8
1045,Mathlib.Analysis.Normed.Order.Hom.Basic,1.82,1.68,0.15,8.8
1046,Mathlib.MeasureTheory.Function.UniformIntegrable,4.39,4.03,0.36,8.8
1047,Mathlib.Analysis.Calculus.TangentCone,1.82,1.68,0.15,8.8
1048,Mathlib.LinearAlgebra.FreeModule.Int,3.55,3.26,0.29,8.8
1049,Mathlib.Combinatorics.Quiver.SingleObj,1.17,1.08,0.09,8.8
1050,Mathlib.Logic.Basic,3.21,2.95,0.26,8.8
1051,Mathlib.FieldTheory.Minpoly.Field,3.05,2.80,0.25,8.8
1052,Mathlib.Topology.Category.TopCat.Opens,2.93,2.69,0.24,8.8
1053,Mathlib.RingTheory.RingHom.Integral,2.85,2.62,0.23,8.8
1054,Mathlib.Computability.TuringMachine,3.26,3.00,0.26,8.8
1055,Mathlib.CategoryTheory.Sites.Coherent.LocallySurjective,2.20,2.02,0.18,8.8
1056,Mathlib.CategoryTheory.Limits.Constructions.WeaklyInitial,1.42,1.31,0.11,8.8
1057,Mathlib.Analysis.Convex.TotallyBounded,1.93,1.77,0.16,8.8
1058,Mathlib.Algebra.Polynomial.Degree.Monomial,1.62,1.49,0.13,8.8
1059,Mathlib.CategoryTheory.Enriched.Limits.HasConicalTerminal,1.38,1.26,0.11,8.8
1060,Mathlib.Analysis.CStarAlgebra.Matrix,14.26,13.11,1.15,8.8
1061,Mathlib.RingTheory.Length,2.95,2.72,0.24,8.8
1062,Mathlib.Order.Filter.AtTopBot.CompleteLattice,1.29,1.19,0.10,8.8
1063,Mathlib.Analysis.Convex.StoneSeparation,2.76,2.54,0.22,8.8
1064,Mathlib.Topology.Separation.Connected,1.52,1.39,0.12,8.8
1065,Mathlib.Topology.Maps.Proper.UniversallyClosed,1.50,1.38,0.12,8.7
1066,Mathlib.GroupTheory.Perm.ConjAct,1.62,1.49,0.13,8.7
1067,Mathlib.Algebra.GroupWithZero.Action.Prod,1.41,1.29,0.11,8.7
1068,Mathlib.Algebra.Homology.DerivedCategory.HomologySequence,2.13,1.96,0.17,8.7
1069,Mathlib.Topology.MetricSpace.Defs,1.83,1.68,0.15,8.7
1070,Mathlib.Data.Real.Cardinality,1.83,1.68,0.15,8.7
1071,Mathlib.Algebra.Category.MonCat.Limits,3.59,3.30,0.29,8.7
1072,Mathlib.AlgebraicTopology.SimplicialSet.Coskeletal,2.99,2.75,0.24,8.7
1073,Mathlib.Analysis.Convex.Segment,4.24,3.90,0.34,8.7
1074,Mathlib.AlgebraicGeometry.AffineScheme,10.29,9.46,0.82,8.7
1075,Mathlib.Algebra.DualNumber,5.88,5.41,0.47,8.7
1076,Mathlib.AlgebraicGeometry.Morphisms.Descent,3.06,2.81,0.24,8.7
1077,Mathlib.CategoryTheory.Monoidal.Center,3.86,3.55,0.31,8.7
1078,Mathlib.CategoryTheory.Monoidal.Cartesian.Cat,1.83,1.69,0.15,8.7
1079,Mathlib.Dynamics.Ergodic.MeasurePreserving,2.38,2.19,0.19,8.7
1080,Mathlib.Data.Setoid.Partition,1.84,1.69,0.15,8.7
1081,Mathlib.LinearAlgebra.Basis.Bilinear,1.84,1.69,0.15,8.7
1082,Mathlib.Tactic.ByCases,1.43,1.31,0.11,8.7
1083,Mathlib.Combinatorics.SimpleGraph.Hasse,1.60,1.47,0.13,8.7
1084,Mathlib.Algebra.Polynomial.Cardinal,1.61,1.49,0.13,8.7
1085,Mathlib.CategoryTheory.Abelian.SerreClass.Bousfield,1.61,1.49,0.13,8.7
1086,Mathlib.Tactic.ProxyType,2.09,1.92,0.17,8.7
1087,Mathlib.Topology.Algebra.NonUnitalStarAlgebra,3.61,3.32,0.29,8.7
1088,Mathlib.CategoryTheory.Bicategory.Functor.Pseudofunctor,6.55,6.03,0.52,8.7
1089,Mathlib.Topology.Category.LightProfinite.Limits,2.06,1.89,0.16,8.7
1090,Mathlib.Algebra.BigOperators.Finprod,6.02,5.54,0.48,8.7
1091,Mathlib.Data.ENNReal.Inv,4.74,4.36,0.38,8.7
1092,Mathlib.Logic.Function.FiberPartition,1.19,1.10,0.09,8.7
1093,Mathlib.NumberTheory.ClassNumber.Finite,4.89,4.50,0.39,8.7
1094,Mathlib.Algebra.Group.Subgroup.Ker,3.77,3.47,0.30,8.7
1095,Mathlib.CategoryTheory.Localization.CalculusOfFractions.ComposableArrows,1.41,1.29,0.11,8.7
1096,Mathlib.Order.Category.PartOrdEmb,2.65,2.44,0.21,8.7
1097,Mathlib.Algebra.Homology.LeftResolution.Transport,1.85,1.70,0.15,8.7
1098,Mathlib.CategoryTheory.Category.Pointed,1.51,1.39,0.12,8.7
1099,Mathlib.NumberTheory.ClassNumber.FunctionField,2.76,2.54,0.22,8.6
1100,Mathlib.RingTheory.Adjoin.Polynomial,1.94,1.78,0.15,8.6
1101,Mathlib.MeasureTheory.Measure.Decomposition.Exhaustion,2.31,2.13,0.18,8.6
1102,Mathlib.Algebra.Module.TransferInstance,1.83,1.69,0.15,8.6
1103,Mathlib.CategoryTheory.Abelian.Images,2.31,2.13,0.18,8.6
1104,Mathlib.CategoryTheory.Limits.ConcreteCategory.Basic,1.71,1.57,0.14,8.6
1105,Mathlib.Logic.Equiv.Finset,1.51,1.39,0.12,8.6
1106,Mathlib.AlgebraicTopology.ModelCategory.Over,1.75,1.61,0.14,8.6
1107,Mathlib.Topology.Algebra.Group.Defs,1.57,1.45,0.12,8.6
1108,Mathlib.Algebra.Homology.Bifunctor,5.72,5.26,0.45,8.6
1109,Mathlib.Algebra.Lie.Semisimple.Lemmas,2.95,2.72,0.23,8.6
1110,Mathlib.FieldTheory.Minpoly.Basic,2.43,2.24,0.19,8.6
1111,Mathlib.Data.Set.Notation,1.31,1.21,0.10,8.6
1112,Mathlib.Analysis.Normed.Operator.Compact,3.94,3.62,0.31,8.6
1113,Mathlib.Algebra.Polynomial.Module.TensorProduct,2.73,2.51,0.22,8.6
1114,Mathlib.Algebra.SkewMonoidAlgebra.Lift,2.70,2.49,0.21,8.6
1115,Mathlib.CategoryTheory.Limits.Opposites,2.71,2.50,0.21,8.6
1116,Mathlib.NumberTheory.Ostrowski,4.85,4.46,0.38,8.6
1117,Mathlib.Tactic.Clear_,0.81,0.74,0.06,8.6
1118,Mathlib.Combinatorics.SetFamily.Intersecting,1.62,1.49,0.13,8.6
1119,Mathlib.Topology.Algebra.Ring.Ideal,1.73,1.59,0.14,8.6
1120,Mathlib.Data.EReal.Operations,4.80,4.42,0.38,8.6
1121,Mathlib.Algebra.Order.Monoid.Unbundled.Units,1.29,1.19,0.10,8.6
1122,Mathlib.GroupTheory.GroupAction.SubMulAction.OfFixingSubgroup,11.08,10.21,0.88,8.6
1123,Mathlib.Algebra.MonoidAlgebra.Ideal,1.72,1.58,0.14,8.6
1124,Mathlib.Topology.Algebra.Module.StrongDual,1.81,1.67,0.14,8.6
1125,Mathlib.Topology.GDelta.UniformSpace,1.85,1.70,0.15,8.6
1126,Mathlib.Analysis.Calculus.FDeriv.WithLp,3.76,3.47,0.30,8.6
1127,Mathlib.Topology.ContinuousMap.LocallyConstant,1.85,1.71,0.15,8.6
1128,Mathlib.Topology.Category.Locale,2.04,1.88,0.16,8.6
1129,Mathlib.MeasureTheory.VectorMeasure.Decomposition.Jordan,2.94,2.71,0.23,8.6
1130,Mathlib.Analysis.VonNeumannAlgebra.Basic,4.61,4.25,0.36,8.6
1131,Mathlib.Probability.Kernel.Disintegration.MeasurableStieltjes,2.64,2.44,0.21,8.5
1132,Mathlib.RingTheory.Norm.Transitivity,3.93,3.62,0.31,8.5
1133,Mathlib.FieldTheory.Fixed,3.80,3.50,0.30,8.5
1134,Mathlib.FieldTheory.Differential.Liouville,4.26,3.93,0.33,8.5
1135,Mathlib.CategoryTheory.Sites.Coherent.CoherentTopology,1.75,1.61,0.14,8.5
1136,Mathlib.LinearAlgebra.RootSystem.Finite.Nondegenerate,3.98,3.67,0.31,8.5
1137,Mathlib.Algebra.Ring.NegOnePow,1.72,1.59,0.14,8.5
1138,Mathlib.Algebra.BigOperators.WithTop,1.62,1.50,0.13,8.5
1139,Mathlib.CategoryTheory.MorphismProperty.RetractArgument,1.74,1.60,0.14,8.5
1140,Mathlib.Topology.Category.LightProfinite.Sequence,2.15,1.98,0.17,8.5
1141,Mathlib.Topology.FiberPartition,1.83,1.69,0.14,8.5
1142,Mathlib.Algebra.GroupWithZero.Units.Lemmas,1.29,1.19,0.10,8.5
1143,Mathlib.NumberTheory.Padics.Hensel,8.87,8.18,0.69,8.5
1144,Mathlib.Topology.Algebra.Semigroup,1.63,1.50,0.13,8.5
1145,Mathlib.Topology.UniformSpace.DiscreteUniformity,1.52,1.41,0.12,8.5
1146,Mathlib.LinearAlgebra.Charpoly.Basic,2.73,2.52,0.21,8.5
1147,Mathlib.RingTheory.WittVector.InitTail,3.68,3.39,0.29,8.5
1148,Mathlib.Data.Fintype.Order,1.60,1.48,0.12,8.5
1149,Mathlib.Order.Partition.Basic,1.50,1.39,0.12,8.4
1150,Mathlib.Tactic.TypeCheck,0.82,0.76,0.06,8.4
1151,Mathlib.CategoryTheory.Localization.Trifunctor,5.10,4.70,0.40,8.4
1152,Mathlib.CategoryTheory.Bicategory.Free,5.19,4.79,0.40,8.4
1153,Mathlib.Order.Category.Preord,1.75,1.62,0.14,8.4
1154,Mathlib.Analysis.NormedSpace.ENormedSpace,1.82,1.68,0.14,8.4
1155,Mathlib.SetTheory.Cardinal.Defs,1.50,1.38,0.12,8.4
1156,Mathlib.Topology.Sheaves.Stalks,5.85,5.40,0.45,8.4
1157,Mathlib.Algebra.Star.RingQuot,1.63,1.50,0.13,8.4
1158,Mathlib.Algebra.Polynomial.Degree.Support,1.75,1.61,0.14,8.4
1159,Mathlib.NumberTheory.RamificationInertia.Basic,11.90,10.98,0.92,8.4
1160,Mathlib.Data.Fin.Parity,1.50,1.39,0.12,8.4
1161,Mathlib.CategoryTheory.Monoidal.CommMon_,5.33,4.92,0.41,8.4
1162,Mathlib.Topology.MetricSpace.PiNat,3.93,3.63,0.30,8.3
1163,Mathlib.Analysis.Calculus.FDeriv.Measurable,6.54,6.04,0.50,8.3
1164,Mathlib.LinearAlgebra.RootSystem.GeckConstruction.Semisimple,11.82,10.91,0.91,8.3
1165,Mathlib.Data.Tree.Traversable,1.09,1.01,0.08,8.3
1166,Mathlib.Order.Interval.Finset.Nat,2.11,1.94,0.16,8.3
1167,Mathlib.Algebra.Module.Presentation.Free,1.81,1.67,0.14,8.3
1168,Mathlib.Data.Finset.SMulAntidiagonal,1.72,1.58,0.13,8.3
1169,Mathlib.CategoryTheory.Bicategory.NaturalTransformation.Oplax,8.26,7.62,0.63,8.3
1170,Mathlib.Algebra.Group.Int.Even,1.61,1.49,0.12,8.3
1171,Mathlib.Algebra.Polynomial.Module.FiniteDimensional,2.06,1.90,0.16,8.3
1172,Mathlib.LinearAlgebra.Finsupp.LinearCombination,3.90,3.60,0.30,8.3
1173,Mathlib.AlgebraicTopology.SimplicialObject.Coskeletal,1.72,1.59,0.13,8.3
1174,Mathlib.Data.Nat.Log,2.04,1.89,0.16,8.3
1175,Mathlib.Topology.Category.Profinite.AsLimit,2.15,1.99,0.16,8.3
