rank,module,normal_time,skipkernel_time,time_diff,pct_diff
6419,Mathlib.Algebra.Order.Hom.MonoidWithZero,1.99,2.10,-0.11,-5.4
6420,Mathlib.Data.NNRat.Defs,1.88,1.99,-0.11,-5.4
6421,Mathlib.Probability.Kernel.Composition.Lemmas,1.98,2.10,-0.11,-5.4
6422,Mathlib.Analysis.NormedSpace.OperatorNorm.NNNorm,1.79,1.89,-0.10,-5.4
6423,Mathlib.Algebra.Module.LinearMap.Basic,1.72,1.82,-0.10,-5.5
6424,Mathlib.Order.RelIso.Set,1.20,1.26,-0.07,-5.5
6425,Mathlib.CategoryTheory.EssentiallySmall,1.70,1.79,-0.10,-5.5
6426,Mathlib.AlgebraicGeometry.Spec,5.64,5.96,-0.33,-5.5
6427,Mathlib.Analysis.SpecialFunctions.Trigonometric.Deriv,8.49,8.98,-0.49,-5.5
6428,Mathlib.NumberTheory.Padics.MahlerBasis,4.02,4.25,-0.23,-5.5
6429,Mathlib.Order.PartialSups,1.72,1.82,-0.10,-5.5
6430,Mathlib.Data.Multiset.UnionInter,1.79,1.90,-0.10,-5.5
6431,Mathlib.Data.Sigma.Order,1.50,1.58,-0.09,-5.5
6432,Mathlib.Analysis.NormedSpace.Alternating.Basic,1.84,1.95,-0.11,-5.5
6433,Mathlib.CategoryTheory.Abelian.Projective.Dimension,2.22,2.35,-0.13,-5.5
6434,Mathlib.Data.Nat.Factorization.Defs,1.81,1.91,-0.10,-5.5
6435,Mathlib.Order.BooleanGenerators,1.50,1.58,-0.09,-5.5
6436,Mathlib.Analysis.Calculus.UniformLimitsDeriv,3.76,3.98,-0.22,-5.5
6437,Mathlib.AlgebraicGeometry.EllipticCurve.Jacobian.Formula,6.87,7.27,-0.40,-5.5
6438,Mathlib.NumberTheory.DirichletCharacter.Bounds,1.99,2.10,-0.12,-5.5
6439,Mathlib.ModelTheory.Semantics,3.94,4.17,-0.23,-5.5
6440,Mathlib.RingTheory.TwoSidedIdeal.BigOperators,1.30,1.37,-0.08,-5.5
6441,Mathlib.Geometry.RingedSpace.PresheafedSpace.Gluing,8.88,9.40,-0.52,-5.5
6442,Mathlib.Data.Finsupp.Pointwise,1.60,1.69,-0.09,-5.5
6443,Mathlib.Probability.Distributions.Fernique,5.82,6.16,-0.34,-5.5
6444,Mathlib.Analysis.Calculus.LocalExtr.Polynomial,2.07,2.19,-0.12,-5.6
6445,Mathlib.NumberTheory.Transcendental.Liouville.Basic,3.27,3.47,-0.19,-5.6
6446,Mathlib.CategoryTheory.Bicategory.Functor.LocallyDiscrete,4.16,4.40,-0.25,-5.6
6447,Mathlib.Algebra.Order.Monovary,3.50,3.71,-0.21,-5.6
6448,Mathlib.RingTheory.NonUnitalSubsemiring.Defs,1.73,1.83,-0.10,-5.6
6449,Mathlib.Tactic.LinearCombination',2.01,2.13,-0.12,-5.6
6450,Mathlib.Analysis.InnerProductSpace.EuclideanDist,3.24,3.43,-0.19,-5.6
6451,Mathlib.Algebra.Group.Pointwise.Set.Lattice,1.79,1.89,-0.11,-5.6
6452,Mathlib.CategoryTheory.Monoidal.Action.LinearFunctor,2.41,2.55,-0.14,-5.6
6453,Mathlib.Algebra.Homology.Linear,2.42,2.57,-0.14,-5.6
6454,Mathlib.Tactic.CategoryTheory.Monoidal.Basic,2.64,2.80,-0.16,-5.6
6455,Mathlib.AlgebraicTopology.MooreComplex,2.78,2.95,-0.17,-5.6
6456,Mathlib.Combinatorics.SimpleGraph.Regularity.Equitabilise,2.10,2.22,-0.12,-5.6
6457,Mathlib.Order.SuccPred.Relation,1.37,1.46,-0.08,-5.6
6458,Mathlib.Algebra.MonoidAlgebra.ToDirectSum,2.21,2.34,-0.13,-5.6
6459,Mathlib.Analysis.Calculus.Monotone,3.04,3.22,-0.18,-5.6
6460,Mathlib.Analysis.SpecialFunctions.Complex.Circle,2.28,2.42,-0.14,-5.7
6461,Mathlib.Data.Finset.Basic,2.38,2.53,-0.14,-5.7
